"","id","zona"
"1",5,"Benhardt 7"
"2",5,"Caracole 8"
"12",5,"Kitchen Accessories 3"
"14",5,"Textile & Bedding 2"
"15",5,"Textile & Bedding 2"
"18",6,"Benhardt 7"
"19",6,"Caracole 2"
"20",6,"Caracole 8"
"21",6,"Caracole 6"
"22",6,"Caracole 3"
"23",6,"Caracole 8"
"24",6,"Caracole 1"
"25",6,"Van Thiel 4"
"26",6,"Van Thiel 3"
"27",6,"Van Thiel 2"
"28",6,"Van Thiel 3"
"29",6,"Van Thiel 3"
"30",6,"Van Thiel 2"
"31",7,"Caracole 7"
"33",8,"Benhardt 4"
"34",8,"Benhardt 7"
"35",8,"Caracole 8"
"36",8,"Caracole 7"
"37",8,"Caracole 4"
"38",8,"Caracole 7"
"39",8,"Caracole 7"
"40",8,"Caracole 11"
"44",8,"Fendi Home 2"
"45",8,"Fendi Home 1"
"46",8,"Fendi Home 1"
"50",11,"Benhardt 7"
"51",11,"Caracole 5"
"52",11,"Caracole 7"
"53",11,"Caracole 7"
"60",11,"Fendi Home 3"
"61",11,"Fendi Home 4"
"62",11,"Fendi Home 4"
"63",11,"Fendi Home 1"
"64",11,"Fendi Home 3"
"65",11,"Fendi Home 3"
"66",11,"Fendi Home 1"
"67",11,"Fendi Home 4"
"68",11,"Fendi Home 2"
"69",11,"Fendi Home 1"
"76",11,"Kitchen Accessories 10"
"80",11,"Textile & Bedding 2"
"81",11,"Textile & Bedding 2"
"82",11,"Textile & Bedding 2"
"83",11,"Textile & Bedding 2"
"84",11,"Textile & Bedding 2"
"85",11,"Textile & Bedding 2"
"92",12,"Caracole 5"
"93",12,"Caracole 9"
"94",12,"Caracole 1"
"95",12,"Caracole 4"
"96",12,"Caracole 6"
"97",12,"Caracole 8"
"98",12,"Caracole 12"
"99",12,"Caracole 12"
"100",15,"Fendi Home 1"
"102",17,"Benhardt 4"
"103",17,"Benhardt 1"
"104",17,"Benhardt 4"
"105",17,"Caracole 8"
"106",17,"Caracole 9"
"107",17,"Caracole 5"
"108",17,"Caracole 7"
"109",17,"Caracole 1"
"112",17,"Fendi Home 4"
"113",17,"Fendi Home 4"
"114",17,"Fendi Home 1"
"115",17,"Fendi Home 4"
"116",17,"Fendi Home 3"
"120",17,"Van Thiel 2"
"121",17,"Van Thiel 4"
"123",18,"Benhardt 1"
"124",18,"Benhardt 1"
