"USERID","REQUESTEDURL"
8,"riseupm_ix,best_of_trance_2008,feel_the_beat_1,everyday_i_have_the_blues_ao_vivo,sweet_home_alabama,warning_power_tecnho,fatal_tecnho,dancemusicmix,sogno_na_37_massimo_cavalli,viagem_x_za_soares"
10,"a_felicidade,hiroshima,jazzitar,nocturne,paulo_gama_2,paulo_gama_projectos,stella_by_starlight,adoras_me_tania_e_t_one_feat_puro_skill,asher_momentos_da_vida_promo_2007,big_flow_segue_em_frente"
11,"ser_profano,a_cidade_dos_pianos_2,eu_ja_estou_farto,guarda_chuva_desafino,mentes_de_coraa_a_o_1,meu_mundo,misskye_memorias_leave_out_all_the_rest,skhuba_misskye_i_love_you,something_2,telegrama"
12,"buraka_mix_part_2,danito_ft_jp_marrone_o_nosso_amor_acabou_danito_produa_a_o,danito_jay_p_ft_mario_myth_rute_sera_que_pensas_em_mim,jp_ft_danito_vou_ter_que_esquecer_danito_produa_a_o,apara_ncia,culpado,em_cada_canto_do_meu_mundo,hm_black_faya_don_letche_ft_andreia_real_you_are_my_lady,hm_sente_meu_ataque,tu_a_s_a_minha_mulher"
13,"sem_ti,noite_remix,jp_onde_estas_tu,jp_ft_danito_tu_es_1,fuck_off_katchorras_canuca_ft_isek,danito_tarde_demais,a_minha_hista_ria_ft_missy_e_gijoe,jp_ft_danito_nada_vai_ser_igual,danito_ft_jp_marrone_o_nosso_amor_acabou_danito_produa_a_o,quero_te_sentir_1"
15,"blue_monk,blues_walk,i_got_my_mojo_1,saint_thomas,st_james_infermary_1,black_ugly_sax_solo,blues_trouble_sax_solo,empty_bed_blues_sax_solo,four,if_i_were_a_catfish_take_2"
33,"a_arte_mais_bela,abre_os_olhos_1,a_minha_hista_ria_ft_missy_e_gijoe,a_minha_luta,a_minha_outra_hista_ria,amizade_na_o_se_vende,amor_sem_fim_hip_hop,aquele_momento_1,arrependimento,a_s_sa_tu_2009"
42,"mctropas_o_peso_da_culpa_r_i_p_filha,tropas_ft_thuga_g_partida_injusta_nuqqa_l_4ever,tropas_ft_dany_boy_caminhantes_do_hip_hop,p_unit_ft_tropas_isek_patakeiros_no_movimento,a_o_movimento_mixtape_discurso_directo_tropas_isek_c_heetif,la_grima_de_ma_e,da_me_a_tua_ma_o,caninha_verde,cantiga_bailada,moda_do_entrudo"
43,"xadrez_da_vida,persona_non_grata,abelha_rainha,agir_girlfriend,agir_sagres_love_is_love,agir_to_pionei_ro_son_tuga_pra_danxar,babila_nia,blue_bossa,bo_ten_qu_luta,come_cover_me_feat_jah_milton"
44,"ai_ai_katrefa,hora_da_verdade,madalena,arrependimento,nao_deixes_q_a_vida_fuja_de_ti,definia_a_o_de_vida,querem_beef,rookie_ft_mrk_da_diva_divina_m2,tavareslm_skhuba_todos_juntos,beleza_rara_jackpot"
54,"01_in_love,04_o_que_sinto,07_zaza_pijamas_black,09_agora_sente_sa,11_improviso_je_ne_sais_pa,fullstryle,qero_te_assim_te,roleta_russa,masturbao_mental,drogas"
59,"tavares_hiphop_feat_katy,poder_paternal,tavares_o_que_faa_o_feat_spmmc,tavareslm_skhuba_todos_juntos,tavares_ft_spm_hista_ria_dama_com_azar_na_gravidez,l_a_stress_ft_paulo,tens_muito_que_aprender_ft_isolado_spm_mind_rds5,bairro_de_odio_e_dor_ft_paulo,st_james_infermary_new_take_1,take_me_back"
63,"depois_da_tempestade,evollov3_advantage,evollov3_fully,evollov3_jump_to_the_stars,evollov3_springfield,evollov3_street_41,evollov3_versus,evollov3_xxxperience,gigante,nunca_desistir"
64,"6_da_manha,abre_a_janela,a_homen_valha_te_deus,a_linda_portuguesa,a_minha_guitarra,ana_o_sei_na_o,a_pra_casar_diogo_leite,atraso_do_destino,a_za_tira_a_ma_o_da_gaita,cigana_linda"
66,"impa_rio_do_amor,mctropas_o_peso_da_culpa_r_i_p_filha,na_o_chores_por_mim_chora_por_na_s,ntk_da_me_a_oportunidade_2007,vidas_piores_que_as_nossas,cristal,faz_por_gosto_na_o_por_moda_2008,mundo_de_desgraa_a,sinfonia_dos_meus_dias,tenho_a_impressao_xc_puto_l"
67,"depois_da_tempestade,evollov3_advantage,evollov3_fully,evollov3_jump_to_the_stars,evollov3_springfield,evollov3_street_41,evollov3_versus,evollov3_xxxperience,gigante,nunca_desistir"
71,"canat_let_you_stay,broadg_gnz_d_t_ox_vida_bandida,the_end_of_me,joana_homenagem,sdm_ele_anda_por_ai,nha_freestyle_a_shot,o_guetto_faz_a_fora_a_1,a_morte_pede_carona,mestres_de_cerimonias_bro_adg_d_tox,broadg_gnz_internacional"
75,"mctropas_o_peso_da_culpa_r_i_p_filha,tropas_ft_thuga_g_partida_injusta_nuqqa_l_4ever,a_o_movimento_mixtape_discurso_directo_tropas_isek_c_heetif,p_unit_ft_tropas_isek_patakeiros_no_movimento,tropas_ft_dany_boy_caminhantes_do_hip_hop,diz_me_by_kartafla,remar_remar_by_kartafla,semen_by_kartafla,jp_ft_danito_ainda_penso_em_ti,tamawitah_es_essencial"
